Track ID,Label,Action,Speed (km/h),Class,Date,Time
30,car ID: 30,OUT,47,car,2025-03-18,14:31:29
72,car ID: 72,OUT,69,car,2025-03-18,14:31:38
30,car ID: 30,OUT,62,car,2025-03-18,14:40:45
2,car ID: 2,OUT,11,car,2025-03-18,14:42:14
30,car ID: 30,OUT,25,car,2025-03-18,14:42:16
37,car ID: 37,OUT,13,car,2025-03-18,14:42:19
72,car ID: 72,OUT,53,car,2025-03-18,14:42:24
71,car ID: 71,OUT,18,car,2025-03-18,14:42:26
56,car ID: 56,IN,63,car,2025-03-18,14:42:31
76,car ID: 76,OUT,10,car,2025-03-18,14:42:31
93,car ID: 93,IN,54,car,2025-03-18,14:42:43
131,truck ID: 131,OUT,34,truck,2025-03-18,14:42:44
134,car ID: 134,OUT,33,car,2025-03-18,14:42:44
92,car ID: 92,IN,73,car,2025-03-18,14:42:49
178,car ID: 178,OUT,41,car,2025-03-18,14:42:56
174,car ID: 174,OUT,14,car,2025-03-18,14:42:57
176,car ID: 176,OUT,24,car,2025-03-18,14:42:57
177,car ID: 177,IN,40,car,2025-03-18,14:43:02
188,car ID: 188,OUT,14,car,2025-03-18,14:43:04
185,car ID: 185,IN,51,car,2025-03-18,14:43:08
219,car ID: 219,OUT,32,car,2025-03-18,14:43:09
224,car ID: 224,OUT,18,car,2025-03-18,14:43:12
241,car ID: 241,OUT,26,car,2025-03-18,14:43:15
248,motorcycle ID: 248,IN,60,motorcycle,2025-03-18,14:43:15
264,car ID: 264,OUT,23,car,2025-03-18,14:43:21
280,car ID: 280,OUT,31,car,2025-03-18,14:43:27
290,truck ID: 290,OUT,26,truck,2025-03-18,14:43:30
263,car ID: 263,IN,47,car,2025-03-18,14:43:30
322,car ID: 322,OUT,13,car,2025-03-18,14:43:39
307,car ID: 307,IN,62,car,2025-03-18,14:43:43
292,car ID: 292,IN,45,car,2025-03-18,14:43:45
353,bus ID: 353,OUT,19,bus,2025-03-18,14:43:55
377,car ID: 377,OUT,35,car,2025-03-18,14:43:56
347,car ID: 347,IN,47,car,2025-03-18,14:43:58
379,car ID: 379,IN,46,car,2025-03-18,14:44:02
381,car ID: 381,OUT,6,car,2025-03-18,14:44:04
384,car ID: 384,IN,48,car,2025-03-18,14:44:07
387,car ID: 387,IN,52,car,2025-03-18,14:44:09
454,car ID: 454,OUT,22,car,2025-03-18,14:44:14
469,car ID: 469,OUT,17,car,2025-03-18,14:44:19
491,car ID: 491,OUT,39,car,2025-03-18,14:44:23
484,car ID: 484,OUT,18,car,2025-03-18,14:44:23
504,car ID: 504,OUT,47,car,2025-03-18,14:44:27
497,car ID: 497,OUT,14,car,2025-03-18,14:44:28
525,car ID: 525,OUT,13,car,2025-03-18,14:44:32
508,car ID: 508,IN,60,car,2025-03-18,14:44:33
511,car ID: 511,IN,67,car,2025-03-18,14:44:34
537,car ID: 537,OUT,14,car,2025-03-18,14:44:36
547,car ID: 547,OUT,43,car,2025-03-18,14:44:36
553,car ID: 553,OUT,27,car,2025-03-18,14:44:39
530,car ID: 530,IN,52,car,2025-03-18,14:44:41
559,car ID: 559,OUT,10,car,2025-03-18,14:44:42
562,car ID: 562,OUT,26,car,2025-03-18,14:44:43
570,car ID: 570,OUT,29,car,2025-03-18,14:44:48
579,car ID: 579,IN,36,car,2025-03-18,14:44:50
554,car ID: 554,IN,38,car,2025-03-18,14:44:50
576,car ID: 576,OUT,21,car,2025-03-18,14:44:51
582,car ID: 582,OUT,29,car,2025-03-18,14:44:52
565,car ID: 565,IN,47,car,2025-03-18,14:44:53
569,car ID: 569,IN,61,car,2025-03-18,14:44:59
581,car ID: 581,IN,51,car,2025-03-18,14:45:00
616,car ID: 616,OUT,12,car,2025-03-18,14:45:04
667,car ID: 667,OUT,45,car,2025-03-18,14:45:10
674,car ID: 674,OUT,23,car,2025-03-18,14:45:13
671,car ID: 671,OUT,13,car,2025-03-18,14:45:13
684,car ID: 684,OUT,35,car,2025-03-18,14:45:15
695,car ID: 695,OUT,15,car,2025-03-18,14:45:19
785,car ID: 785,OUT,15,car,2025-03-18,14:45:32
839,car ID: 839,OUT,28,car,2025-03-18,14:45:40
855,car ID: 855,OUT,35,car,2025-03-18,14:45:44
817,car ID: 817,IN,61,car,2025-03-18,14:45:45
849,car ID: 849,IN,54,car,2025-03-18,14:45:48
866,car ID: 866,OUT,15,car,2025-03-18,14:45:49
880,car ID: 880,OUT,39,car,2025-03-18,14:45:50
922,car ID: 922,IN,60,car,2025-03-18,14:46:02
991,car ID: 991,OUT,47,car,2025-03-18,14:46:02
1008,car ID: 1008,OUT,12,car,2025-03-18,14:46:07
1038,car ID: 1038,OUT,12,car,2025-03-18,14:46:12
993,car ID: 993,IN,61,car,2025-03-18,14:46:14
1010,car ID: 1010,IN,64,car,2025-03-18,14:46:16
1020,car ID: 1020,IN,59,car,2025-03-18,14:46:17
1084,car ID: 1084,OUT,44,car,2025-03-18,14:46:17
1103,car ID: 1103,OUT,16,car,2025-03-18,14:46:23
1116,car ID: 1116,OUT,32,car,2025-03-18,14:46:24
1097,car ID: 1097,IN,52,car,2025-03-18,14:46:30
1138,car ID: 1138,OUT,17,car,2025-03-18,14:46:31
1159,car ID: 1159,OUT,38,car,2025-03-18,14:46:31
1165,car ID: 1165,OUT,7,car,2025-03-18,14:46:36
1179,car ID: 1179,OUT,13,car,2025-03-18,14:46:36
1190,car ID: 1190,OUT,12,car,2025-03-18,14:46:39
1146,car ID: 1146,IN,54,car,2025-03-18,14:46:41
1211,car ID: 1211,OUT,28,car,2025-03-18,14:46:41
1245,car ID: 1245,IN,50,car,2025-03-18,14:46:49
1254,car ID: 1254,OUT,17,car,2025-03-18,14:46:49
1237,truck ID: 1237,IN,67,truck,2025-03-18,14:46:49
1236,car ID: 1236,IN,60,car,2025-03-18,14:46:50
1263,car ID: 1263,OUT,27,car,2025-03-18,14:46:50
1329,car ID: 1329,OUT,31,car,2025-03-18,14:46:57
1311,car ID: 1311,IN,58,car,2025-03-18,14:46:58
1348,car ID: 1348,OUT,44,car,2025-03-18,14:46:59
1341,car ID: 1341,OUT,20,car,2025-03-18,14:47:00
1271,car ID: 1271,IN,55,car,2025-03-18,14:47:01
1325,car ID: 1325,IN,52,car,2025-03-18,14:47:05
1363,car ID: 1363,OUT,11,car,2025-03-18,14:47:07
1367,car ID: 1367,IN,54,car,2025-03-18,14:47:15
1384,car ID: 1384,OUT,16,car,2025-03-18,14:47:17
1394,car ID: 1394,OUT,22,car,2025-03-18,14:47:17
1418,truck ID: 1418,OUT,21,truck,2025-03-18,14:47:18
1400,car ID: 1400,OUT,23,car,2025-03-18,14:47:18
1434,car ID: 1434,OUT,24,car,2025-03-18,14:47:21
1438,car ID: 1438,OUT,17,car,2025-03-18,14:47:22
1457,car ID: 1457,OUT,25,car,2025-03-18,14:47:25
1427,car ID: 1427,IN,50,car,2025-03-18,14:47:26
1420,car ID: 1420,IN,57,car,2025-03-18,14:47:27
1478,car ID: 1478,OUT,20,car,2025-03-18,14:47:28
1454,car ID: 1454,IN,39,car,2025-03-18,14:47:30
1432,car ID: 1432,IN,54,car,2025-03-18,14:47:32
1491,car ID: 1491,OUT,15,car,2025-03-18,14:47:33
1409,car ID: 1409,IN,34,car,2025-03-18,14:47:33
1477,car ID: 1477,IN,37,car,2025-03-18,14:47:34
1499,car ID: 1499,OUT,13,car,2025-03-18,14:47:35
1439,car ID: 1439,IN,42,car,2025-03-18,14:47:37
1504,car ID: 1504,IN,44,car,2025-03-18,14:47:42
1487,car ID: 1487,IN,49,car,2025-03-18,14:47:43
1545,car ID: 1545,IN,40,car,2025-03-18,14:47:53
1555,car ID: 1555,IN,25,car,2025-03-18,14:47:55
1599,car ID: 1599,OUT,6,car,2025-03-18,14:47:57
1583,car ID: 1583,IN,22,car,2025-03-18,14:48:00
1639,car ID: 1639,OUT,17,car,2025-03-18,14:48:02
1611,car ID: 1611,IN,35,car,2025-03-18,14:48:03
